PriceList,Catalog,GradeGroup,Price
UFCA 1711E V5,30192-16,42,nan
UFCA 1711E V5,30192-19,10,1050.0
UFCA 1711E V5,30192-19,20,1090.0
UFCA 1711E V5,30192-19,30,1120.0
UFCA 1711E V5,30192-19,40,1150.0
UFCA 1711E V5,30192-19,50,1200.0
UFCA 1711E V5,30192-19,60,1250.0
UFCA 1711E V5,30192-19,70,1300.0
UFCA 1711E V5,30192-19,F,1900.0
UFCA 1711E V5,30192-19,I,2050.0
UFCA 1711E V5,30192-19,41,nan
UFCA 1711E V5,30192-19,42,nan
UFCA 1711E V5,30192-20,10,1050.0
UFCA 1711E V5,30192-20,20,1090.0
UFCA 1711E V5,30192-20,30,1120.0
UFCA 1711E V5,30192-20,40,1150.0
UFCA 1711E V5,30192-20,50,1200.0
UFCA 1711E V5,30192-20,60,1250.0
UFCA 1711E V5,30192-20,70,1300.0
UFCA 1711E V5,30192-20,F,1900.0
UFCA 1711E V5,30192-20,I,2050.0
UFCA 1711E V5,30192-20,41,nan
UFCA 1711E V5,30192-20,42,nan
UFCA 1711E V5,30192-35,10,1050.0
UFCA 1711E V5,30192-35,20,1090.0
UFCA 1711E V5,30192-35,30,1120.0
UFCA 1711E V5,30192-35,40,1150.0
UFCA 1711E V5,30192-35,50,1200.0
UFCA 1711E V5,30192-35,60,1250.0
UFCA 1711E V5,30192-35,70,1300.0
UFCA 1711E V5,30192-35,F,1730.0
UFCA 1711E V5,30192-35,I,1850.0
UFCA 1711E V5,30192-35,41,nan
UFCA 1711E V5,30192-35,42,nan
UFCA 1711E V5,30192-36,10,1050.0
UFCA 1711E V5,30192-36,20,1090.0
UFCA 1711E V5,30192-36,30,1120.0
UFCA 1711E V5,30192-36,40,1150.0
UFCA 1711E V5,30192-36,50,1200.0
UFCA 1711E V5,30192-36,60,1250.0
UFCA 1711E V5,30192-36,70,1300.0
UFCA 1711E V5,30192-36,F,1730.0
UFCA 1711E V5,30192-36,I,1850.0
UFCA 1711E V5,30192-36,41,nan
UFCA 1711E V5,30192-36,42,nan
UFCA 1711E V5,30192-41,10,150.0
UFCA 1711E V5,30192-41,20,155.0
UFCA 1711E V5,30192-41,30,160.0
UFCA 1711E V5,30192-41,40,165.0
UFCA 1711E V5,30192-41,50,175.0
UFCA 1711E V5,30192-41,60,185.0
UFCA 1711E V5,30192-41,70,190.0
